project_id,scheme,state,district,latitude,longitude,beneficiary_count,fund_allocated_lakhs,fund_utilized_lakhs,inspection_count,previous_issues,report_delay_days,attendance_rate_pct,previous_risk_score,attendance_records_valid,geotagged_media_count,metadata_match_flag,gps_location_variance_km,flagged_for_audit,risk_score,risk_category
PROJ_DEL_1029,Skill Development,Delhi,North Delhi,28.6584,77.1351,4510,30.6,19.21,3,0,42,41.14,0.1201,1,5,1,5.53,0,0.4151,Medium
PROJ_DEL_1030,Women Empowerment,Delhi,North Delhi,28.7081,77.1256,1412,61.98,60.65,3,3,13,47.35,0.406,0,2,1,5.76,0,0.8585,Critical
PROJ_DEL_1031,Skill Development,Delhi,North Delhi,28.6859,77.1312,2203,19.38,18.58,5,1,22,66.29,0.2964,1,10,1,4.51,0,0.2972,Low
PROJ_DEL_1032,Digital Literacy,Delhi,West Delhi,28.6768,77.1237,753,30.53,28.35,3,2,33,44.99,0.1111,1,15,0,2.99,1,0.9358,Critical
PROJ_DEL_1033,Women Empowerment,Delhi,West Delhi,28.6709,77.0737,2131,13.94,11.63,3,0,20,81.38,0.209,1,19,1,0.66,0,0.1028,Low
PROJ_DEL_1034,Rural Health Drive,Delhi,West Delhi,28.6515,77.1281,3188,94.4,95.66,2,0,26,94.48,0.1985,1,15,1,11.92,0,0.0962,Low
PROJ_DEL_1035,Child Nutrition,Delhi,Central Delhi,28.6326,77.1908,1421,54.75,53.09,4,2,32,77.73,0.0915,1,3,1,2.12,0,0.1262,Low
PROJ_DEL_1036,Child Nutrition,Delhi,West Delhi,28.633,77.09,3581,71.75,52.06,3,0,12,53.02,0.6708,1,11,1,0.67,0,0.1323,Low
PROJ_DEL_1037,Child Nutrition,Delhi,Central Delhi,28.6448,77.2014,2619,65.51,61.38,1,2,1,48.05,0.0561,0,11,1,4.8,1,0.8508,Critical
PROJ_DEL_1038,Women Empowerment,Delhi,South Delhi,28.5181,77.2166,676,81.77,68.94,2,1,16,74.92,0.4614,1,3,1,2.57,0,0.1258,Low
PROJ_DEL_1039,Skill Development,Delhi,South Delhi,28.561,77.2441,1469,64.27,51.4,4,0,27,61.43,0.2529,1,16,0,7.6,1,0.9037,Critical
PROJ_DEL_1040,Digital Literacy,Delhi,South Delhi,28.5699,77.2255,4302,64.79,59.13,4,0,32,86.99,0.5451,1,10,1,1.88,0,0.1714,Low
PROJ_DEL_1041,Skill Development,Delhi,East Delhi,28.6189,77.2696,4378,63.41,39.08,3,0,20,89.32,0.1076,1,10,1,5.05,0,0.0962,Low
PROJ_DEL_1042,Digital Literacy,Delhi,North Delhi,28.6948,77.139,2212,13.02,7.84,3,2,4,76.27,0.0206,1,4,1,3.48,0,0.1303,Low
PROJ_DEL_1043,Child Nutrition,Delhi,North Delhi,28.6669,77.1346,3174,78.73,49.48,5,1,14,91.83,0.683,1,11,1,6.51,0,0.1358,Low
PROJ_DEL_1044,Digital Literacy,Delhi,North Delhi,28.6974,77.139,4709,67.1,64.59,4,0,1,71.91,0.335,0,16,1,5.03,0,0.327,Medium
PROJ_DEL_1045,Rural Health Drive,Delhi,Central Delhi,28.651,77.1975,1258,16.21,11.87,1,1,7,64.42,0.2061,1,5,1,6.15,1,0.1421,Low
PROJ_DEL_1046,Child Nutrition,Delhi,Central Delhi,28.6317,77.23,1816,27.45,19.26,5,0,3,76.89,0.0567,1,19,1,6.53,0,0.0967,Low
PROJ_DEL_1047,Digital Literacy,Delhi,North Delhi,28.6782,77.1302,4717,24.57,16.77,2,1,37,74.98,0.1482,1,5,1,11.2,0,0.2616,Low
PROJ_DEL_1048,Digital Literacy,Delhi,South Delhi,28.5162,77.2179,3231,46.28,40.17,4,0,35,64.73,0.2023,0,3,1,6.0,1,0.8213,Critical
PROJ_DEL_1049,Women Empowerment,Delhi,North Delhi,28.6693,77.0929,3429,56.33,52.6,1,0,35,79.89,0.37,1,7,1,8.51,0,0.0966,Low
PROJ_DEL_1050,Digital Literacy,Delhi,West Delhi,28.6588,77.0842,2289,8.85,5.75,5,1,9,88.92,0.2377,1,15,1,6.51,0,0.1979,Low
PROJ_DEL_1051,Rural Health Drive,Delhi,South Delhi,28.5621,77.2161,2426,93.54,65.56,2,0,33,91.33,0.6681,1,6,0,3.89,1,0.9181,Critical
PROJ_DEL_1052,Child Nutrition,Delhi,Central Delhi,28.6307,77.1958,1143,44.64,22.38,1,0,38,93.21,0.3884,1,3,1,1.25,0,0.0967,Low
PROJ_DEL_1053,Rural Health Drive,Delhi,North Delhi,28.6649,77.0994,3943,79.87,45.69,3,0,2,65.37,0.7741,0,5,1,5.26,1,0.8534,Critical
PROJ_DEL_1054,Digital Literacy,Delhi,East Delhi,28.6057,77.2869,712,12.74,9.29,1,0,41,43.66,0.3144,1,12,1,1.53,0,0.4344,Medium
PROJ_DEL_1055,Child Nutrition,Delhi,West Delhi,28.6761,77.1033,397,10.72,7.35,4,0,24,63.26,0.021,1,9,1,8.45,0,0.1576,Low
PROJ_DEL_1056,Digital Literacy,Delhi,South Delhi,28.5632,77.2254,308,82.86,54.89,5,1,2,90.69,0.6296,1,18,1,2.04,0,0.1396,Low
PROJ_DEL_1057,Child Nutrition,Delhi,South Delhi,28.5358,77.2361,2691,88.09,85.32,5,0,12,89.64,0.0547,1,11,1,10.37,0,0.0967,Low
PROJ_DEL_1058,Skill Development,Delhi,West Delhi,28.6482,77.1054,1483,45.13,26.4,1,0,28,94.16,0.4733,1,8,0,6.56,1,0.9202,Critical
PROJ_DEL_1059,Rural Health Drive,Delhi,North Delhi,28.6836,77.1379,3904,24.01,18.4,1,1,42,47.82,0.1054,1,10,1,6.38,1,0.7189,Critical
PROJ_DEL_1060,Digital Literacy,Delhi,East Delhi,28.5959,77.2651,4535,83.57,58.34,2,0,44,97.23,0.5703,1,12,1,2.67,0,0.1115,Low
PROJ_DEL_1061,Women Empowerment,Delhi,West Delhi,28.6497,77.0851,2807,63.28,59.93,1,2,44,58.95,0.1342,1,14,1,11.27,1,0.7516,Critical
PROJ_DEL_1062,Women Empowerment,Delhi,South Delhi,28.5238,77.2251,2490,50.8,52.94,5,1,2,88.74,0.3121,1,16,1,8.94,0,0.1258,Low
PROJ_DEL_1063,Rural Health Drive,Delhi,West Delhi,28.6279,77.082,3407,59.18,54.01,5,1,18,84.3,0.6286,1,13,1,11.11,0,0.1358,Low
PROJ_DEL_1064,Digital Literacy,Delhi,Central Delhi,28.6557,77.2184,2626,98.17,78.9,2,0,20,79.24,0.1237,1,10,1,9.16,0,0.0967,Low
PROJ_DEL_1065,Rural Health Drive,Delhi,North Delhi,28.657,77.1226,4279,5.04,3.56,5,1,43,77.99,0.4485,0,9,1,8.36,1,0.864,Critical
PROJ_DEL_1066,Child Nutrition,Delhi,West Delhi,28.6772,77.0894,3361,27.08,19.93,3,2,0,88.66,0.3109,0,9,1,8.27,0,0.8289,Critical
PROJ_DEL_1067,Child Nutrition,Delhi,North Delhi,28.69,77.1238,4664,11.07,7.95,5,1,14,76.47,0.4982,1,9,1,4.77,0,0.1439,Low
PROJ_DEL_1068,Digital Literacy,Delhi,North Delhi,28.6511,77.1359,1408,87.91,60.36,5,3,2,49.53,0.1658,0,7,1,10.39,1,0.8543,Critical
PROJ_DEL_1069,Digital Literacy,Delhi,West Delhi,28.677,77.1114,1352,64.95,57.83,2,0,28,60.96,0.7898,1,13,1,5.02,0,0.6624,Critical
PROJ_DEL_1070,Women Empowerment,Delhi,South Delhi,28.5287,77.2293,1242,29.76,24.83,3,1,41,64.52,0.2939,1,14,1,3.74,1,0.7516,Critical
PROJ_DEL_1071,Skill Development,Delhi,North Delhi,28.6603,77.118,725,25.72,17.99,1,0,36,85.93,0.054,1,2,1,5.26,0,0.097,Low
PROJ_DEL_1072,Women Empowerment,Delhi,East Delhi,28.6021,77.2675,841,22.87,15.16,5,0,12,92.83,0.3068,1,16,0,6.27,1,0.9205,Critical
PROJ_DEL_1073,Women Empowerment,Delhi,Central Delhi,28.6273,77.2298,1939,80.07,43.26,1,0,9,72.83,0.475,1,19,1,7.19,0,0.0967,Low
PROJ_DEL_1074,Rural Health Drive,Delhi,North Delhi,28.6834,77.1077,4500,90.1,65.37,1,0,29,54.68,0.677,1,16,1,0.74,1,0.6965,Critical
PROJ_DEL_1075,Skill Development,Delhi,Central Delhi,28.6477,77.2066,2619,30.97,22.24,2,0,36,62.86,0.5957,1,3,0,0.92,1,0.6843,Critical
PROJ_DEL_1076,Digital Literacy,Delhi,East Delhi,28.6346,77.2907,2914,13.24,7.17,5,3,16,40.36,0.15,1,4,1,7.82,0,0.3692,Medium
PROJ_DEL_1077,Skill Development,Delhi,West Delhi,28.675,77.0915,1419,18.65,10.72,3,2,15,91.25,0.2119,1,3,0,9.27,1,0.9234,Critical
PROJ_DEL_1078,Women Empowerment,Delhi,East Delhi,28.6441,77.2814,828,54.41,56.5,3,1,21,98.04,0.5462,1,5,1,9.04,0,0.1396,Low
PROJ_DEL_1079,Skill Development,Delhi,East Delhi,28.6414,77.2714,783,38.85,19.55,1,0,18,85.25,0.7617,1,8,1,3.24,0,0.1159,Low
PROJ_DEL_1080,Women Empowerment,Delhi,South Delhi,28.5609,77.1919,4734,17.24,8.9,5,0,22,98.32,0.3455,1,7,1,9.62,0,0.1023,Low
PROJ_DEL_1081,Child Nutrition,Delhi,South Delhi,28.5157,77.2303,1905,36.85,21.43,3,1,32,40.19,0.4741,1,4,0,4.14,1,0.932,Critical
PROJ_DEL_1082,Digital Literacy,Delhi,Central Delhi,28.6187,77.1846,3929,39.35,22.91,1,1,2,45.44,0.4336,1,2,1,7.45,0,0.1335,Low
PROJ_DEL_1083,Rural Health Drive,Delhi,East Delhi,28.5965,77.2806,892,65.49,44.43,1,0,10,62.22,0.4141,1,4,0,8.15,1,0.9163,Critical
PROJ_DEL_1084,Child Nutrition,Delhi,East Delhi,28.613,77.2837,4603,63.38,33.58,2,2,5,63.02,0.1271,1,19,1,0.66,0,0.1335,Low
PROJ_DEL_1085,Women Empowerment,Delhi,South Delhi,28.5629,77.2316,4703,26.03,15.23,2,1,4,52.18,0.5689,1,19,1,0.49,0,0.148,Low
PROJ_DEL_1086,Rural Health Drive,Delhi,East Delhi,28.6228,77.2987,126,52.76,26.91,5,1,27,50.05,0.6461,1,10,1,3.05,1,0.799,Critical
PROJ_DEL_1087,Women Empowerment,Delhi,South Delhi,28.536,77.2265,3383,50.09,44.75,3,1,33,45.96,0.6035,1,11,1,2.12,1,0.7985,Critical
PROJ_DEL_1088,Rural Health Drive,Delhi,South Delhi,28.5422,77.2242,4691,72.04,57.6,3,0,16,45.35,0.4704,1,8,0,6.89,1,0.8809,Critical
PROJ_DEL_1089,Child Nutrition,Delhi,South Delhi,28.5533,77.2473,3684,22.36,16.29,3,1,22,45.52,0.1487,0,9,1,8.38,1,0.8973,Critical
PROJ_DEL_1090,Child Nutrition,Delhi,South Delhi,28.5275,77.2012,740,51.44,31.64,2,1,17,75.28,0.1262,0,3,1,3.18,1,0.8409,Critical
PROJ_DEL_1091,Skill Development,Delhi,South Delhi,28.5294,77.2122,2625,97.17,83.91,2,3,37,67.41,0.0504,1,5,1,1.63,1,0.6842,Critical
PROJ_DEL_1092,Skill Development,Delhi,East Delhi,28.6394,77.2692,939,78.12,64.66,4,0,20,50.64,0.6333,1,13,1,10.89,0,0.3288,Medium
PROJ_DEL_1093,Digital Literacy,Delhi,North Delhi,28.6606,77.0977,4269,39.61,25.44,2,0,33,59.18,0.4173,1,14,0,5.97,1,0.8747,Critical
PROJ_DEL_1094,Women Empowerment,Delhi,East Delhi,28.6438,77.2619,137,70.34,39.02,5,0,16,85.59,0.2812,1,16,0,7.63,1,0.9205,Critical
PROJ_DEL_1095,Women Empowerment,Delhi,Central Delhi,28.6418,77.236,4602,82.61,65.59,3,0,33,94.14,0.6964,1,9,1,8.52,1,0.1115,Low
PROJ_DEL_1096,Digital Literacy,Delhi,Central Delhi,28.6444,77.2267,4080,27.12,22.34,1,1,43,50.81,0.0918,1,16,1,7.23,1,0.7511,Critical
PROJ_DEL_1097,Rural Health Drive,Delhi,South Delhi,28.545,77.2061,4211,14.4,12.72,3,2,4,85.5,0.7218,1,11,1,2.0,0,0.1439,Low
PROJ_DEL_1098,Child Nutrition,Delhi,West Delhi,28.6283,77.0933,2294,66.69,35.47,1,0,22,51.86,0.703,1,14,1,9.3,1,0.6624,Critical
PROJ_DEL_1099,Digital Literacy,Delhi,East Delhi,28.5969,77.3009,585,51.66,31.47,5,2,23,50.21,0.5117,1,15,1,1.94,1,0.763,Critical
PROJ_DEL_1100,Digital Literacy,Delhi,North Delhi,28.6752,77.0925,4210,15.85,12.36,2,0,5,42.1,0.5101,0,3,1,4.11,1,0.8521,Critical
PROJ_DEL_1101,Digital Literacy,Delhi,East Delhi,28.6212,77.2755,2268,17.88,14.15,3,0,24,71.61,0.2714,1,14,1,0.55,0,0.097,Low
PROJ_DEL_1102,Women Empowerment,Delhi,Central Delhi,28.6481,77.1864,1208,38.08,29.37,1,1,22,93.79,0.5525,1,5,1,0.96,0,0.1396,Low
PROJ_DEL_1103,Digital Literacy,Delhi,West Delhi,28.6689,77.1228,3595,38.45,23.8,5,0,41,98.66,0.7615,1,15,1,7.08,0,0.1115,Low
PROJ_DEL_1104,Rural Health Drive,Delhi,Central Delhi,28.6418,77.228,958,30.93,23.79,1,1,43,82.72,0.4711,1,6,1,5.44,0,0.189,Low
PROJ_DEL_1105,Skill Development,Delhi,Central Delhi,28.6313,77.1943,1122,9.01,5.18,2,0,27,43.53,0.187,1,6,0,10.69,1,0.8683,Critical
PROJ_DEL_1106,Child Nutrition,Delhi,South Delhi,28.5516,77.2006,4014,44.39,31.31,2,0,23,89.46,0.3063,1,2,1,9.72,0,0.0962,Low
PROJ_DEL_1107,Women Empowerment,Delhi,South Delhi,28.5458,77.2142,1233,42.74,42.57,1,0,8,58.61,0.0768,1,19,1,3.85,0,0.1058,Low
PROJ_DEL_1108,Digital Literacy,Delhi,West Delhi,28.6745,77.1024,410,26.37,20.15,4,0,31,98.82,0.5857,1,9,1,1.5,0,0.112,Low
PROJ_DEL_1109,Skill Development,Delhi,East Delhi,28.6252,77.2999,627,96.53,68.4,4,1,17,91.81,0.0584,1,19,0,1.59,0,0.1228,Low
PROJ_DEL_1110,Skill Development,Delhi,East Delhi,28.6458,77.2841,3822,37.65,32.04,1,1,13,64.16,0.0252,1,7,1,8.87,0,0.1396,Low
PROJ_DEL_1111,Women Empowerment,Delhi,West Delhi,28.6529,77.0828,4688,74.6,75.34,1,1,20,47.46,0.1586,1,18,1,2.94,1,0.5996,Medium
PROJ_DEL_1112,Women Empowerment,Delhi,North Delhi,28.6763,77.1498,1939,77.69,70.7,5,2,10,55.38,0.3194,1,8,1,4.38,0,0.1436,Low
PROJ_DEL_1113,Digital Literacy,Delhi,South Delhi,28.5669,77.2394,2640,39.81,36.61,3,0,43,83.78,0.6297,1,13,1,0.19,0,0.1123,Low
PROJ_DEL_1114,Skill Development,Delhi,North Delhi,28.6822,77.1475,226,64.48,34.88,4,0,25,59.05,0.3868,0,11,1,0.03,1,0.8252,Critical
PROJ_DEL_1115,Women Empowerment,Delhi,Central Delhi,28.611,77.2091,4063,74.48,69.97,2,0,29,43.76,0.0779,0,13,1,10.88,0,0.8032,Critical
PROJ_DEL_1116,Child Nutrition,Delhi,South Delhi,28.5428,77.2466,1169,20.21,14.97,1,0,35,64.42,0.6042,0,9,1,1.43,1,0.9035,Critical
PROJ_DEL_1117,Digital Literacy,Delhi,North Delhi,28.6873,77.1349,4308,76.14,76.56,2,0,13,79.56,0.101,1,7,1,5.5,0,0.0962,Low
PROJ_DEL_1118,Child Nutrition,Delhi,Central Delhi,28.6218,77.1923,4128,96.72,62.68,3,0,30,50.79,0.4376,1,12,1,10.37,0,0.408,Medium
PROJ_DEL_1119,Skill Development,Delhi,West Delhi,28.6527,77.1284,948,79.34,67.04,2,1,27,44.14,0.599,1,16,1,4.68,1,0.8087,Critical
PROJ_DEL_1120,Rural Health Drive,Delhi,North Delhi,28.7076,77.1388,1857,80.67,66.67,2,0,10,69.59,0.1457,1,17,1,1.85,0,0.0985,Low
PROJ_DEL_1121,Skill Development,Delhi,North Delhi,28.6501,77.1029,3808,65.29,40.88,2,0,5,52.56,0.4405,1,4,1,2.67,0,0.1054,Low
PROJ_DEL_1122,Women Empowerment,Delhi,East Delhi,28.6231,77.3107,4400,52.64,32.04,1,0,14,60.61,0.6906,1,15,0,11.44,1,0.9176,Critical
PROJ_DEL_1123,Child Nutrition,Delhi,East Delhi,28.6032,77.3009,3626,40.32,37.32,5,0,4,72.75,0.2114,1,12,1,3.97,0,0.0962,Low
PROJ_DEL_1124,Digital Literacy,Delhi,East Delhi,28.6123,77.2985,3659,53.85,42.7,2,2,2,44.33,0.389,1,6,1,1.59,0,0.1335,Low
PROJ_DEL_1125,Child Nutrition,Delhi,South Delhi,28.5307,77.2449,2378,27.74,23.59,3,0,21,41.65,0.4129,1,14,1,6.5,0,0.3138,Medium
PROJ_DEL_1126,Skill Development,Delhi,Central Delhi,28.6396,77.2293,1434,34.1,22.04,5,2,7,83.72,0.4309,1,19,1,4.03,0,0.1258,Low
PROJ_DEL_1127,Digital Literacy,Delhi,West Delhi,28.6735,77.0832,4825,22.37,12.99,3,1,25,89.14,0.1585,1,19,0,2.55,1,0.9211,Critical
PROJ_DEL_1128,Skill Development,Delhi,North Delhi,28.6801,77.143,1016,11.13,10.88,5,1,0,52.23,0.2608,1,12,1,8.78,1,0.1455,Low
PROJ_DEL_1129,Child Nutrition,Delhi,North Delhi,28.6675,77.0972,3198,37.73,29.46,4,1,27,47.38,0.736,1,19,0,2.28,1,0.923,Critical
PROJ_DEL_1130,Child Nutrition,Delhi,South Delhi,28.5486,77.1902,2178,46.41,30.08,5,0,10,53.57,0.2022,1,9,1,7.48,0,0.1109,Low
PROJ_DEL_1131,Skill Development,Delhi,East Delhi,28.6203,77.3057,4279,46.78,33.27,2,0,29,85.85,0.7242,1,3,1,9.51,0,0.1115,Low
PROJ_DEL_1132,Digital Literacy,Delhi,Central Delhi,28.6407,77.2051,3713,28.27,18.96,5,1,41,50.86,0.1956,1,5,1,6.54,1,0.7393,Critical
PROJ_DEL_1133,Digital Literacy,Delhi,Central Delhi,28.605,77.2279,3948,52.58,35.58,5,2,11,84.34,0.4697,1,4,1,11.27,0,0.1222,Low
PROJ_DEL_1134,Child Nutrition,Delhi,Central Delhi,28.6418,77.2032,1475,14.51,14.87,1,0,41,97.15,0.2012,1,19,1,0.49,0,0.0967,Low
PROJ_DEL_1135,Digital Literacy,Delhi,East Delhi,28.6406,77.2962,790,25.38,26.55,2,1,40,80.51,0.3401,0,19,1,0.61,1,0.8175,Critical
PROJ_DEL_1136,Child Nutrition,Delhi,West Delhi,28.6251,77.0869,1215,80.65,59.27,2,3,9,45.7,0.0819,0,6,1,0.21,1,0.8607,Critical
PROJ_DEL_1137,Rural Health Drive,Delhi,North Delhi,28.6742,77.1143,661,91.88,65.28,3,0,25,71.56,0.0716,1,17,1,0.48,0,0.097,Low
PROJ_DEL_1138,Digital Literacy,Delhi,South Delhi,28.5387,77.2276,1009,56.3,36.05,5,0,38,62.42,0.2678,1,9,1,9.6,0,0.4344,Medium
PROJ_DEL_1139,Skill Development,Delhi,West Delhi,28.6419,77.076,4529,61.05,39.91,2,1,36,53.91,0.4284,1,5,1,9.95,1,0.7189,Critical
PROJ_DEL_1140,Digital Literacy,Delhi,West Delhi,28.6504,77.1123,2168,97.87,80.18,4,2,17,91.37,0.4887,1,4,1,7.76,0,0.1459,Low
PROJ_DEL_1141,Skill Development,Delhi,North Delhi,28.6789,77.1024,1930,59.25,61.57,2,0,27,85.37,0.0366,1,11,1,1.24,0,0.0967,Low
PROJ_DEL_1142,Rural Health Drive,Delhi,West Delhi,28.634,77.0898,1485,56.33,30.47,5,3,7,80.96,0.7102,1,3,1,6.5,0,0.1396,Low
PROJ_DEL_1143,Rural Health Drive,Delhi,East Delhi,28.6463,77.2643,2607,31.05,18.63,2,0,20,72.21,0.4449,0,18,1,0.35,1,0.7592,Critical
PROJ_DEL_1144,Rural Health Drive,Delhi,North Delhi,28.6938,77.1337,4668,65.46,37.53,5,0,18,80.61,0.0423,0,17,1,2.71,0,0.336,Medium
PROJ_DEL_1145,Child Nutrition,Delhi,East Delhi,28.6391,77.2627,4391,98.85,97.8,2,0,31,98.83,0.4743,1,2,1,10.3,0,0.0962,Low
PROJ_DEL_1146,Digital Literacy,Delhi,Central Delhi,28.6094,77.2212,2629,53.04,49.14,3,0,0,56.62,0.081,1,12,1,8.08,0,0.1058,Low
PROJ_DEL_1147,Child Nutrition,Delhi,South Delhi,28.538,77.2377,3470,85.52,87.58,5,1,6,54.61,0.3687,1,2,1,6.85,0,0.1395,Low
PROJ_DEL_1148,Rural Health Drive,Delhi,South Delhi,28.5376,77.235,664,28.68,14.67,3,1,2,51.37,0.3042,1,5,1,0.72,0,0.1455,Low
PROJ_DEL_1149,Digital Literacy,Delhi,West Delhi,28.6592,77.1265,4282,46.09,29.16,1,2,17,89.72,0.5498,1,16,1,3.05,0,0.1358,Low
PROJ_DEL_1150,Child Nutrition,Delhi,West Delhi,28.6497,77.0872,4472,13.59,10.42,2,0,42,88.27,0.167,1,15,1,9.89,0,0.0966,Low
PROJ_DEL_1151,Skill Development,Delhi,East Delhi,28.5934,77.3107,3046,95.11,90.42,4,2,8,92.67,0.7958,1,8,1,6.79,0,0.4708,Medium
PROJ_DEL_1152,Digital Literacy,Delhi,North Delhi,28.6856,77.1355,2809,84.13,81.44,2,0,41,85.45,0.1533,1,17,0,6.05,1,0.9208,Critical
PROJ_DEL_1153,Digital Literacy,Delhi,South Delhi,28.5178,77.2477,2376,90.41,54.58,2,0,26,85.2,0.5768,1,16,1,7.1,0,0.112,Low
PROJ_DEL_1154,Rural Health Drive,Delhi,East Delhi,28.646,77.2627,316,52.51,53.2,4,0,3,92.73,0.5751,1,7,1,11.09,0,0.112,Low
PROJ_DEL_1155,Women Empowerment,Delhi,West Delhi,28.6594,77.1126,1615,74.18,47.31,1,0,19,73.52,0.0355,1,5,1,9.48,0,0.097,Low
PROJ_DEL_1156,Child Nutrition,Delhi,North Delhi,28.6545,77.1078,2953,74.12,38.14,2,2,16,62.27,0.0511,1,10,1,3.81,0,0.1396,Low
PROJ_DEL_1157,Women Empowerment,Delhi,East Delhi,28.6079,77.2636,3925,37.51,37.24,2,1,22,48.66,0.7149,0,11,1,5.36,1,0.7469,Critical
